subject,animale,group,aOn,TT,DPA,FP,PL,IL,dACC,Vacc,RS,OA,AU,GA,VA,M1,M2,S1,SS,TeAA,AuA,Prh,lpEC,Ech,AA,ViA,Clst,dEPn,vEPn,PC,PAA,FC,IG,CA1,CA2,CA3,DG,proSub,Sub,LSN,SFn,MSn,DBn,TnS,BNST,LAn,BLA,BMe,PAn,CCA,aAA,CA,IAn,MAn,DLS,DMS,NACC SHELL,NACC CORE,FStr,OT,MGCn,Gpe,Gpi,SubInn,STN,AMn,IADT,AVT,LPT,PlnT,IMDT,MDT,pRE ,PT ,RE,CMT,PCn,CLT,Rh,PVT,XiT,EnT,PCT,PTTn,SMT,subGn,MHb,LHb,VPLT,VPMT,MGC,dLGC,IGLLGC,vlLGC,VALCT,VMT,RT,reSN,cSN,VTA,PAG,SCO,PreCN,APTN,ADPO,AVPO,AVPV,DMH,MePO,MPA,PSN,SCN,AHN,SMN,MPO,VMHn,PHn,LHA,LPO,PSTN,FF,TN ,ZI ,SON,PVH,IPVH,ArH,SPZ
FT83,SS1,SS,2.726444182,1.353166121,2.770047221,3.915579526,2.031171194,2.445041438,1.264894532,1.154089662,-0.402215856,3.724678896,0.909954933,0.576263368,0.268214553,1.505119622,1.894566028,1.181647844,0.781028081,-0.524123601,-0.436735101,-0.471279222,-0.357427073,0.096804071,0.117301686,0.834539959,1.209827919,0.665426338,-0.570948049,0.484820121,-0.307343902,-0.54431027,-1.192630285,-0.774369472,-0.84309287,-0.805008101,-1.181357426,-0.92946561,-0.980684773,0.880390107,-0.290478146,0.376191879,-0.558381651,-0.708005124,0.23777493,-0.849087925,-0.471167281,-0.288857076,-0.670799299,-0.897898287,-0.408637945,-0.625409352,0.104022183,-0.597109043,0.096841384,0.314039825,0.752632416,0.946057934,-0.196348318,-0.632540399,-0.19142292,-0.276949885,-0.308575252,-0.275880228,-0.71333268,0.040510255,0.313666689,-0.288251766,-1.288364598,-1.340537332,-0.154557063,-0.416030188,-0.291556095,0.706935668,-0.421270678,0.34777963,-0.591756612,-0.792988969,0.698801299,0.394881857,-0.067935565,-1.372569003,-1.214454608,-1.561894169,-0.629277531,-0.40677641,-0.897637091,-0.068225782,-0.688220614,-0.673784388,-1.464140774,-0.944726881,0.458634251,0.102139918,-0.401345205,-1.048964553,-0.299491458,-1.310296716,-1.35571983,-0.759033574,-0.388977813,-1.494315055,-0.262335384,-1.028711549,2.114898294,0.091028751,-0.2691922,0.188790438,0.83815938,0.402672112,1.242937539,0.940605999,0.549853616,0.606752742,0.239814741,-0.496196429,0.387162084,0.067591651,0.295822486,-0.013905442,-0.635148207,-0.913238331,-0.342480895,-0.85521565,0.656607885,-0.342364808,0.306502473,1.308340024
FT100,SS2,SS,3.889464931,2.040652256,1.382244374,2.516747633,1.477853406,1.517816233,0.959710017,0.758402596,0.063351162,2.649568905,0.579784622,0.010258245,0.160526985,0.470619951,0.832695542,1.199661066,0.773865464,-0.205436567,-0.557879298,-0.38005439,-0.70150562,0.084520241,0.301553595,0.879142173,1.006175991,0.493286186,-0.193989326,0.395255399,-0.388793599,-1.239104291,-1.631977951,-1.063790116,-1.366791906,-1.093624901,-1.293454509,-0.785822156,-0.70181511,0.707673405,-0.803621669,-0.624264788,-0.351082308,-1.019026334,0.123024599,-0.558215868,0.103166981,0.045892088,-0.223452723,-0.328358044,-0.117158567,-0.378135556,0.50024583,-0.45551179,-0.316906934,0.199228642,0.620652705,0.828618018,-0.465504431,-0.418628383,-0.112841189,-1.247928609,-1.456385236,-0.400558067,-0.624744497,-0.377149058,-0.0220099,-0.674417555,-1.229962746,-1.005958142,0.952417672,0.246143376,0.039679087,0.578407394,-0.556904406,0.988391953,-0.462227711,0.043806903,0.302485932,1.254108,-0.042118978,-1.005764711,-0.927142782,-0.986769795,-0.692789623,-1.165422587,-0.90368348,0.080570382,-1.005749236,0.19707769,-1.216275574,-1.198998325,-0.785427557,-0.556327982,-0.968800063,-0.666130975,-0.571113841,-0.544598332,-0.604964251,-0.768912425,0.48123544,-2.272675299,-0.693315756,-0.61608266,1.875980651,-0.047674314,-0.173934409,1.48016684,1.21238882,0.348050518,0.960812573,3.013880556,0.554267216,0.371008688,0.471830829,-0.186039315,1.368278662,-0.404384131,-0.027201586,-0.518930049,-0.996213092,-0.550888705,-0.140981518,-0.589404669,1.227201759,-0.402848289,0.66067743,2.157039637
FT27,SS3,SS,2.578879446,0.26119558,1.432953305,0.026768289,0.928498479,2.02159234,0.72315076,1.308821735,-0.341250488,1.062209347,0.201780877,0.13137077,0.534207642,0.403390734,0.081387168,1.473361725,0.943614587,0.019403715,0.367448811,0.358997458,-0.167678706,0.630144706,1.641865988,1.550922344,1.399193174,0.897986334,0.125434651,0.451661835,-0.019456868,-0.788031929,-1.422879654,-0.67745628,-1.158491842,-0.769408488,-1.173290973,-0.583659841,-0.948286551,1.00885426,-0.561014495,-0.495997117,-1.04743867,-1.031346931,0.206720781,-0.20772075,0.161594753,0.237755732,-0.196519516,0.189023573,-0.850513489,-0.016377661,0.562348632,-0.288632271,-0.582326067,0.013726941,0.734529007,1.234241525,-0.343992135,-0.792169099,-1.162904824,-1.425761265,-1.166280425,-0.78140834,-0.843511174,-0.154884353,-0.256251196,-0.309750363,-1.373480608,-0.990535085,0.801077756,-0.349298416,-0.050360088,0.472557632,-0.482255949,0.941008787,-1.15290975,-0.762451456,0.066349275,2.515109394,0.271211236,-1.150077538,-1.463222209,-0.994766937,-1.089995948,-1.255836779,-0.571503559,-0.329374134,-1.156581746,-1.29567711,-1.295265451,-1.237172173,1.134875344,0.683660339,-1.154688116,-0.874591407,-0.586726699,-1.389946957,-1.084257426,-0.911772423,0.445663968,-1.04365141,0.563274864,-0.991934725,2.181105977,-0.283346573,-0.61305639,1.998070161,0.260108801,0.078316194,0.705223023,2.476648971,1.533583279,1.218993686,0.116942132,-0.422730098,2.809074885,0.078974848,-0.345548205,-0.184227387,-0.84356469,-0.747495895,-0.023178263,-0.394119818,2.35354158,-0.119259408,0.090307812,2.35548461
FT98,SS4,SS,1.90292542,0.075317135,0.518471584,-0.42259694,-0.011596504,-0.000133341,-0.37801762,-0.545268661,-0.023974179,0.519281309,-0.116765467,0.877528968,1.344267049,1.623403007,0.453017241,3.321376879,3.21072719,0.518125467,2.048591092,0.194842043,-0.032804943,0.476677083,1.592865267,2.659441137,1.422073665,0.341068817,-0.519195522,0.324769533,-0.389223576,-1.090985077,-1.675066573,-1.084205617,-1.252434678,-1.058919975,-1.409619728,-1.00306484,-1.18750745,-0.050688747,-1.060726773,0.051381034,-0.306507805,-1.357933882,-0.263023995,-0.734883983,-0.02272625,-0.309797511,-0.464207269,-0.927071373,-0.015781669,-0.232508484,0.923899209,-0.718038532,-1.245906073,-1.075622534,-0.171232956,0.203631526,-1.050968795,-0.270902141,-0.39923241,-1.134043385,-0.808584818,-0.823896555,1.386912556,-0.446037679,-0.709880951,-1.220909392,-0.928852767,-0.325766554,1.287894326,-0.372521017,0.989842562,-0.122173159,0.017213823,0.672693994,-0.080829562,-0.271219681,1.008590073,0.507522835,0.503445632,-0.470275442,-0.683356907,0.208296176,-0.979465331,-0.931685217,-0.938598044,-0.233823096,-0.61069125,1.108868933,-0.375201048,-0.781590816,1.581281439,0.66653691,-0.930583356,-0.474682885,-0.905812127,-1.42492829,-0.876319092,2.342302095,0.053270392,-1.64299512,-0.355405658,-0.662361219,2.083717271,-0.084243108,-0.307904978,1.910836261,1.676552708,0.416220805,0.467649445,2.476648971,5.72E-05,-0.138882068,0.115444556,-0.47472099,1.360788611,0.019388966,-0.361118187,0.206047999,0.083411207,-0.624377187,0.052425738,-0.798223516,2.086308391,-0.102644501,0.779469706,1.424660947
FT99,SS5,SS,1.559463058,0.709894689,0.157855205,0.702254718,-0.132074941,-0.024125736,-0.320818169,0.092217423,-0.701585633,1.338993625,-0.407149259,-0.283242704,-0.485852157,-0.155242256,-0.101049706,-0.258078511,-0.210253585,0.02751623,-0.052382439,-0.308777998,-0.419266006,0.140089473,-0.597317987,-0.419059839,0.211924055,0.015428935,-0.347578687,0.384327052,-0.116247182,-1.381713923,-1.512877567,-0.891224216,-0.953893189,-0.953062629,-0.8205265,-0.911145869,-0.588729646,1.155981847,-0.12622568,3.522075728,1.367321013,-0.173873891,0.281467234,-0.374439342,0.030502711,0.159445638,-0.300419387,0.066122532,0.473438454,-0.585289597,0.113093336,-0.101562179,-0.675626223,-0.640813399,1.514642284,0.924703357,0.174819829,0.512645586,1.620971602,-0.655304016,-0.941322873,1.748465468,-0.340292145,-1.033432538,-0.335815369,-0.819831422,-1.007396551,-0.450762481,-0.337988961,-1.02357185,-1.102622288,0.391053996,-0.802501586,0.077326253,-1.461382863,-1.02786602,-0.769161387,0.998870575,-0.493533362,-0.881275171,-1.170321742,-0.897138273,-1.245537468,-1.426475791,-0.904348238,0.314094684,-1.280998246,-1.108088667,0.204337098,-0.372536712,1.405497309,0.200932392,-1.514055666,-1.281728667,-1.017928756,-0.125966498,0.149367002,-0.100136679,0.382860318,-1.501685627,-0.091448199,0.389257396,3.435220385,2.913681881,0.971114564,0.816524423,2.787884478,2.448645002,2.119896497,-0.699747798,0.609455866,0.5734296,1.091492712,1.088429655,0.628971074,0.119843843,1.895474542,-0.148150101,-0.523421732,-0.482688962,-0.029927873,-0.524322978,0.500363905,-0.211779223,0.393321837,0.561012438
FT26,SS6,SS,0.510740177,-0.012249557,0.172248747,0.863011665,0.135218586,-0.247194797,0.7342085,0.641825322,0.725574361,1.653366987,-0.085449285,0.622835858,0.434376713,1.875569111,1.25337142,4.10091986,3.227143512,-0.507432282,0.793264887,-0.799360022,-0.837899746,-0.08174239,1.527304315,1.978325249,0.818377254,-0.099899477,-0.733401261,-0.286743248,-1.21138272,-0.987558167,-1.411294092,-0.503115212,-0.949748536,-0.672888216,-1.334059455,-0.703280529,-1.185519098,0.151957813,-1.11758168,-0.866281659,-1.287446387,-1.278216181,-0.259472346,-1.040876096,-0.362873928,-0.46871268,-0.932208676,-0.819629794,-0.543891065,-0.213709289,-0.157248788,-1.101159885,-0.529945237,-0.220100246,-0.147478948,0.257644903,-0.600009446,-1.067205284,-1.1380666,-0.803842862,-0.747675102,-0.839247067,0.000151438,0.596478453,1.549115393,0.137839161,-1.078897349,0.690300655,1.622011798,0.165702602,0.241212527,0.304265025,-0.303101557,2.065428482,0.446132264,0.215430026,1.495628167,1.024154057,0.585777481,0.180466698,-0.422487584,0.541647434,-0.023627717,-1.170592759,-0.486848606,0.061592089,-0.306706169,0.793702237,-0.395587019,-1.188562914,0.921189825,0.442220801,0.137324216,0.03331246,-0.571772141,-0.720312498,-0.34457576,0.474595298,1.05977341,-1.499737591,0.268271808,0.529348723,0.740930996,-0.661407773,-1.412366305,-0.038211935,-0.16708564,-0.258520051,-0.410185346,4.190040547,0.28202365,-0.196095362,-0.57406823,-0.413849917,1.072587066,-0.047047115,-0.365364003,0.197368168,0.045075064,-1.002932438,0.353029574,-1.13561885,-0.97650802,-0.384674426,-0.292844989,0.101274567
FT28,SS7,SS,0.609785806,0.507037435,1.004688658,-0.51800156,1.381534379,1.456797159,0.964233264,2.36644779,0.341423039,0.428583737,-0.424372451,-0.24831955,-0.371108039,-0.669887589,-0.444325993,0.340223353,0.211778613,0.478220233,0.308643988,-0.281531478,-0.580541896,0.510801398,1.420934378,1.608934669,1.233531869,-0.336787122,-0.64270295,0.169785477,-0.665196033,-1.405855833,-1.416574678,-0.54305892,-1.192192155,-0.810424011,-1.196116901,-0.751781663,-1.209915352,1.598442569,-0.150951214,-0.012929598,-0.714543945,-0.080338763,0.563187691,-0.494745789,-0.490128441,-0.142359648,-0.092113002,-0.588745935,-0.140628142,-0.602111509,-0.17088002,-0.109770237,-1.032064983,0.009373844,-0.240647331,0.578231177,-0.50776094,-1.196232335,-0.65468332,-1.11952251,-1.050596216,-0.824061679,-1.000939107,-0.025074874,0.089340548,-0.280373018,-1.229130942,-0.395122373,0.422515222,-0.497652245,1.851506246,1.676430409,0.20314582,0.370108317,-1.286814817,-0.617332269,-0.651484157,3.325240202,0.658972936,-1.202890386,-1.34855124,-0.73210636,-1.295047715,-1.294140735,0.187995145,0.593245805,-1.072396697,-1.426056733,-1.03478592,-1.13576156,1.306828154,0.62372855,-1.292516418,-0.586833033,0.080068747,-1.006438699,-1.194640998,-0.573570524,0.994200681,-1.396373778,0.100504637,0.04734329,2.72272982,0.561035676,-0.204203259,1.623396864,0.420717754,0.652776619,1.522689195,2.234890462,0.836930493,0.161853532,0.297995228,-0.334461958,1.692298422,0.27302032,0.165881344,0.031537117,0.182211092,-0.675345954,0.047982298,-0.866772153,3.010184498,-0.449945141,-0.052115221,1.469680386
FT102,SS8,SS,1.445700339,0.458408708,0.913427908,-0.711581571,1.267857691,0.825763551,1.271528094,1.322931205,1.092759107,0.484180176,-0.276906887,0.216963231,-0.028528428,0.219695641,0.367720639,1.33165278,0.806901761,0.298183992,1.147832621,0.193868826,0.046484693,0.669730668,1.829685601,2.814291429,0.760404172,0.127149067,-0.095924007,0.468484836,-0.549510002,-0.883609835,-1.349928631,-0.638590085,-1.072259778,-0.652179313,-1.114722838,-0.346032798,-0.595089991,0.416452513,-0.438826979,-0.472201424,-0.337821001,-0.036413967,-0.234839998,-0.511792248,0.092539503,-0.216607419,-0.359659895,-0.472365333,-0.414631454,-0.721841219,-0.049071029,-0.223776356,-0.928024616,-0.153059937,0.085836649,1.077844456,-0.712895342,-0.697357305,-0.188257931,-1.409936796,-1.167183374,-0.686002362,0.26789152,-0.008434431,-0.403733854,-0.761315523,-1.293124784,-0.663615821,0.139042919,-0.739596063,0.308781551,0.323993329,-0.5778391,0.464971737,-1.181288206,-0.740933138,-0.761912692,1.204027646,0.010302099,-1.412849814,-1.534322655,-1.148942057,-1.386923956,-1.09299004,-0.384650675,-0.160849346,-1.265357899,-1.432658335,-0.926973017,-1.164503398,0.860411252,-0.006246755,-1.023242428,-0.922789924,-0.418566941,-1.297203009,-1.127295422,-0.905081689,0.432575199,-1.55020484,-0.06720767,-0.72928398,1.764602958,0.735576521,-0.143994626,1.621061095,0.82245145,0.572767959,0.540660677,5.180224062,0.485415295,0.371008688,0.287059177,-0.076607786,1.296757741,-0.148783627,0.187699054,-0.061465671,-0.383950051,-0.257631448,0.037850508,0.487154367,1.903737425,-0.029559636,0.595072936,2.019794965
FT97,SC1,SC,2.309635382,0.195766288,0.822360285,-0.023686551,1.155261947,1.223653491,0.749012728,1.101439932,0.747207272,0.985146256,-0.470939766,0.297461664,-0.222560066,0.033839887,0.080537184,1.556411292,0.96506685,-0.276986298,0.294275142,-0.570099591,-0.474140674,-0.067208115,1.447263914,1.310671443,0.927314114,0.45124553,-0.619533844,0.331110764,-0.561014766,-0.893233088,-1.516248541,-0.64150862,-1.140224529,-0.7236317,-1.221214703,-0.914017414,-1.054749486,0.44085157,-0.605475023,1.346302229,1.778435647,-1.192492845,-0.15109709,-0.693643864,-0.386489733,-0.187925518,-0.509627598,-0.577386153,-0.162260707,-0.473273911,0.422624374,-0.620637978,-1.114311557,0.11084511,0.485466478,1.088909635,-0.68555168,-0.052063143,-0.151762447,-1.336447404,-1.160397444,-0.54253941,-0.523736771,0.160674982,0.63081649,-0.805287232,-1.226523176,-0.757428257,0.613761762,-0.420962437,0.426102215,0.13178049,-0.522467197,0.565769716,-1.121004692,-0.285085675,-0.024236819,2.405838862,0.001870365,-1.320996728,-1.568757825,-1.038439239,-1.102835042,-1.372387491,-0.664357351,0.324780878,-1.237420651,-1.416265111,-1.354764513,-0.932100748,1.497712387,0.881195858,-0.767408618,-0.708562255,-0.313109808,-1.208867829,-1.198362376,-0.834807519,0.093725645,-0.931633199,0.284866629,-0.866708707,2.990817454,1.19643498,4.035852893,0.789858477,1.873711224,0.889291638,1.356505574,0.208667028,0.380188961,-0.335825467,-0.330998929,0.521593584,1.532580709,-0.180336848,-0.269127888,-0.183235648,-0.580418025,-0.777011343,-0.049563557,0.156208096,1.168623042,-0.592455598,0.619415501,1.421109975
FT42,SC2,SC,1.620438418,-0.010043,1.036384708,0.473797927,1.685009452,1.526512493,1.434986195,1.730715853,1.105864436,0.815335321,-0.258716466,0.428837355,-0.125954692,-0.061172881,0.158928004,1.724805962,1.153877236,0.51510231,0.975765762,-0.622089652,-0.522274103,0.345178752,0.990913405,1.869115938,1.171610963,0.293748917,-0.50756423,0.374793062,-0.042527134,-0.834197186,-1.368742385,-0.449316537,-0.997513665,-0.628692678,-1.066008412,-0.414355761,-0.78450627,0.662488835,-0.470260575,-0.315687331,-0.851671494,-1.015429796,-0.075599015,-0.488257774,-0.271573925,-0.166768612,-0.534539762,-0.580566383,-0.739261959,-0.599362107,0.429068401,0.117623621,-1.013934083,-0.28517316,-0.116445361,0.898600743,-0.727632688,-0.524450791,-0.794043975,-1.319290621,-1.05840419,-0.864423564,-0.202163104,0.237078006,-0.671675179,-0.522132233,-1.076085222,-0.681885752,0.72622081,-0.311824418,1.481008763,0.692654411,-0.018960531,0.529581138,-1.006775737,-0.356890379,-1.015154163,2.684830898,0.212185933,-1.356582115,-1.390225528,-1.088650835,-0.907758713,-1.104459185,0.121952677,0.202554999,-0.906165717,-1.053588723,-1.270244199,-0.594866861,1.421857157,0.408010866,-0.797821766,-0.27824586,-0.736351601,-1.146209445,-0.863089988,-0.76376085,0.703578387,-0.78432792,0.608022986,-0.591178246,5.166385287,0.561064077,-0.020667022,0.570739598,2.777601597,0.492638238,0.861609201,0.317206078,0.011367182,0.804001949,-0.65502777,-0.584968401,1.682613878,-0.12251739,0.056360181,0.106298356,-0.472246752,-0.945285306,-0.027225461,-1.203768056,0.0130453,-0.573456679,-0.2227018,0.8414191
